DATE,NAEXKP04AUQ189S
1960-01-01,10671000000.0
1960-04-01,10885000000.0
1960-07-01,10919000000.0
1960-10-01,11409000000.0
1961-01-01,11553000000.0
1961-04-01,11701000000.0
1961-07-01,11942000000.0
1961-10-01,11381000000.0
1962-01-01,11611000000.0
1962-04-01,11457000000.0
1962-07-01,12007000000.0
1962-10-01,12019000000.0
1963-01-01,12605000000.0
1963-04-01,12660000000.0
1963-07-01,12980000000.0
1963-10-01,13366000000.0
1964-01-01,13432000000.0
1964-04-01,14130000000.0
1964-07-01,14041000000.0
1964-10-01,14260000000.0
1965-01-01,14510000000.0
1965-04-01,15133000000.0
1965-07-01,15386000000.0
1965-10-01,15600000000.0
1966-01-01,15982000000.0
1966-04-01,15688000000.0
1966-07-01,16292000000.000002
1966-10-01,16273000000.0
1967-01-01,16539000000.000002
1967-04-01,16745000000.000002
1967-07-01,17249000000.0
1967-10-01,17330000000.0
1968-01-01,17922000000.0
1968-04-01,18204000000.0
1968-07-01,18361000000.0
1968-10-01,18817000000.0
1969-01-01,18751000000.0
1969-04-01,19296000000.0
1969-07-01,19196000000.0
1969-10-01,19524000000.0
1970-01-01,19268000000.0
1970-04-01,19703000000.0
1970-07-01,19514000000.0
1970-10-01,19871000000.0
1971-01-01,20501000000.0
1971-04-01,20309000000.0
1971-07-01,21145000000.0
1971-10-01,20474000000.0
1972-01-01,20332000000.0
1972-04-01,20494000000.0
1972-07-01,20868000000.0
1972-10-01,21019000000.0
1973-01-01,21495000000.0
1973-04-01,21585000000.0
1973-07-01,21938000000.0
1973-10-01,22640000000.0
1974-01-01,22689000000.0
1974-04-01,21327000000.0
1974-07-01,20743000000.0
1974-10-01,20536000000.0
1975-01-01,20693000000.0
1975-04-01,20942000000.0
1975-07-01,21196000000.0
1975-10-01,21035000000.0
1976-01-01,21482000000.0
1976-04-01,22049000000.0
1976-07-01,21658000000.0
1976-10-01,22749000000.0
1977-01-01,22513000000.0
1977-04-01,22177000000.0
1977-07-01,22879000000.0
1977-10-01,22534000000.0
1978-01-01,23109000000.0
1978-04-01,23992000000.0
1978-07-01,24487000000.0
1978-10-01,25354000000.0
1979-01-01,25771000000.0
1979-04-01,25948000000.0
1979-07-01,25355000000.0
1979-10-01,26018000000.0
1980-01-01,26246000000.0
1980-04-01,26857000000.0
1980-07-01,28803000000.0
1980-10-01,28976000000.0
1981-01-01,29919000000.0
1981-04-01,30139000000.0
1981-07-01,31434000000.0
1981-10-01,32141000000.0
