DATE,NYGDPPCAPKDAUS
1960-01-01,19948.0299707141
1961-01-01,20040.5231053417
1962-01-01,19810.5180802084
1963-01-01,20642.2599690594
1964-01-01,21653.9778423325
1965-01-01,22503.6236128227
1966-01-01,22518.9305978013
1967-01-01,23638.4628228828
1968-01-01,24408.1941767159
1969-01-01,25586.7144472764
1970-01-01,26887.8022588836
1971-01-01,27034.1121218906
1972-01-01,27579.5818105083
1973-01-01,27872.5997595009
1974-01-01,28292.045510313
1975-01-01,28319.2965903255
1976-01-01,28762.5772732208
1977-01-01,29462.7184467784
1978-01-01,29382.1890839102
1979-01-01,30243.5783753583
1980-01-01,30784.1120576982
1981-01-01,31319.1653283251
1982-01-01,31804.2690137935
1983-01-01,30674.1086414944
1984-01-01,31699.7211930522
1985-01-01,32931.2981889946
1986-01-01,33745.7631454891
1987-01-01,34086.9309013088
1988-01-01,35464.4084170809
1989-01-01,36220.4175471372
1990-01-01,36964.6724453489
1991-01-01,36356.6948688231
1992-01-01,36106.0132708728
1993-01-01,37234.6823143663
1994-01-01,38345.8761177348
1995-01-01,39395.2107437299
1996-01-01,40420.9794120627
1997-01-01,41550.5510955641
1998-01-01,43036.3234245713
1999-01-01,44677.8946490841
2000-01-01,45892.6103705542
2001-01-01,46232.0382470989
2002-01-01,47534.5452094921
2003-01-01,48453.013800548
2004-01-01,49959.0724111333
2005-01-01,50911.1341449746
2006-01-01,51605.3146015121
2007-01-01,52586.4093896127
2008-01-01,53382.3100594756
2009-01-01,53271.5901893686
2010-01-01,53606.5814449061
2011-01-01,54131.1047090858
2012-01-01,55269.9192801293
2013-01-01,55727.7341473215
2014-01-01,56318.6359789436
2015-01-01,56708.96119674
2016-01-01,57354.5498137682
2017-01-01,57701.5238528086
2018-01-01,58479.5035467805
2019-01-01,58868.4806341229
2020-01-01,58115.9306675109
2021-01-01,59339.6843453605
2022-01-01,60797.9586475866
